contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
486,Dead Lead,Declined Attending,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$100k - $150k,Graduate or Professional Degree,,,White,2021-10-21 14:42:00,2021,White,10,3
487,Dead Lead,Non-responsive,3.0,Laptop (PC),Employed part-time (under 20 hrs),$15K-$25K,Married,$75k - $100k,Bachelor's Degree,,,"Native Hawaiian or Other Pacific Islander,Hispanic or Latina,White",2021-10-21 14:53:00,2021,Other,10,3
489,2022 Fall - Orem,Assigned Cohort,0.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$35k - $50k,Bachelor's Degree,,,Hispanic or Latina,2021-10-22 10:18:00,2021,Hispanic or Latina,10,4
490,2022 Fall - Orem,Assigned Cohort,3.0,Laptop (PC),Employed full-time (35 hrs+),I do not currently work outside the home.,Divorced,$25k - $35k,High School Diploma,,,White,2021-10-22 19:58:00,2021,White,10,4
491,2022 Fall - Orem,Assigned Cohort,4.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$35k - $50k,Bachelor's Degree,,,"Hispanic or Latina,White",2021-10-25 09:58:00,2021,"Hispanic or Latina,White",10,0
492,2022 Fall - Orem,Assigned Cohort,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,<$15k,Associates Degree,,,American Indian or Alaska Native,2021-10-25 18:46:00,2021,American Indian or Alaska Native,10,0
493,Dead Lead,Non-responsive,2.0,,"No, currently not employed outside the home",I do not currently work outside the home.,Married,$75k - $100k,High School Diploma,,,Would prefer not to answer,2021-10-26 18:05:00,2021,Would prefer not to answer,10,1
494,2022 Fall - Orem,Assigned Cohort,3.0,Laptop (PC),Employed almost full-time (up to 35 hrs),<$15K,Divorced,$25k - $35k,Associates Degree,,,White,2021-10-28 08:26:00,2021,White,10,3
495,2022 Fall - Orem,Assigned Cohort,2.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Married,$50k - $75k,Bachelor's Degree,,,White,2021-10-28 13:18:00,2021,White,10,3
496,Dead Lead,Non-responsive,1.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Divorced,$35k - $50k,High School Diploma,,,White,2021-10-29 18:29:00,2021,White,10,4
497,Dead Lead,Non-responsive,3.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Married,$150k - $200k,Associates Degree,,,White,2021-10-31 16:53:00,2021,White,10,6
498,Dead Lead,Non-responsive,4.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Domestic Partnership,$25k - $35k,Associates Degree,,,White,2021-11-01 09:54:00,2021,White,11,0
499,Dead Lead,Non-responsive,4.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,High School Diploma,,,White,2021-11-02 08:32:00,2021,White,11,1
500,Dead Lead,Dead lead,2.0,I do not own a laptop,Employed almost full-time (up to 35 hrs),$15K-$25K,Single,$25k - $35k,Associates Degree,,,Hispanic or Latina,2021-11-03 00:12:00,2021,Hispanic or Latina,11,2
501,2022 Fall - Orem,Assigned Cohort,5.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$25K-$35K,Separated,$25k - $35k,Bachelor's Degree,,,Would prefer not to answer,2021-11-03 19:18:00,2021,Would prefer not to answer,11,2
502,2022 Fall - Orem,Assigned Cohort,4.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$75k - $100k,Graduate or Professional Degree,,,White,2021-11-04 13:52:00,2021,White,11,3
503,Dead Lead,Declined Attending,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$35k - $50k,High School Diploma,,,Hispanic or Latina,2021-11-05 14:14:00,2021,Hispanic or Latina,11,4
504,2022 Fall - Orem,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Married,$50k - $75k,Some College No Degree,,,White,2021-11-08 10:21:00,2021,White,11,0
505,Waitlist - Salt Lake,Deferred Application,3.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$100k - $150k,Graduate or Professional Degree,,,White,2021-11-08 14:34:00,2021,White,11,0
506,Dead Lead,Non-responsive,0.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Married,$35k - $50k,Bachelor's Degree,,,White,2021-11-08 19:13:00,2021,White,11,0
507,2022 Fall - Orem,Assigned Cohort,1.0,Laptop (Mac),Employed part-time (under 20 hrs),$50K-$75K,Married,$75k - $100k,Bachelor's Degree,,,"Hispanic or Latina,""Some other race, ethnicity, or origin""",2021-11-09 06:19:00,2021,Other,11,1
508,Dead Lead,Non-responsive,2.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$35k - $50k,Some College No Degree,,,White,2021-11-12 21:34:00,2021,White,11,4
509,2022 Fall - Orem,Assigned Cohort,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,,,White,2021-11-15 10:32:00,2021,White,11,0
510,2022 Fall - Orem,Assigned Cohort,2.0,Laptop (Mac),Employed full-time (35 hrs+),$35K-$50K,Married,$50k - $75k,Bachelor's Degree,,,Hispanic or Latina,2021-11-15 19:50:00,2021,Hispanic or Latina,11,0
511,2022 Fall - SLCC,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Divorced,$35k - $50k,Some College No Degree,,,White,2021-11-16 17:07:00,2021,White,11,1
512,2022 Fall - SLCC,Assigned Cohort,4.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$100k - $150k,Some College No Degree,,,White,2021-11-17 15:20:00,2021,White,11,2
513,Dead Lead,Non-responsive,3.0,Laptop (Mac),Employed full-time (35 hrs+),$25K-$35K,Other,$25k - $35k,Some College No Degree,,,White,2021-11-17 19:05:00,2021,White,11,2
514,2022 Fall - SLCC,Assigned Cohort,2.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),$50K-$75K,Separated,$50k - $75k,Bachelor's Degree,,,White,2021-11-19 08:41:00,2021,White,11,4
515,Dead Lead,Declined Attending,0.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$35k - $50k,Bachelor's Degree,,,White,2021-11-20 21:28:00,2021,White,11,5
516,Dead Lead,Non-responsive,3.0,Laptop (Mac),Employed part-time (under 20 hrs),$25K-$35K,Married,$100k - $150k,Bachelor's Degree,,,Hispanic or Latina,2021-11-23 09:15:00,2021,Hispanic or Latina,11,1
517,Dead Lead,Non-responsive,2.0,,Employed full-time (35 hrs+),$50K-$75K,Married,$50k - $75k,Bachelor's Degree,,,White,2021-11-23 11:28:00,2021,White,11,1
