contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
518,2022 Fall - SLCC,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Divorced,$25k - $35k,Bachelor's Degree,,,White,2021-11-24 12:04:00,2021,White,11,2
519,Dead Lead,Non-responsive,3.0,Laptop (PC),Employed almost full-time (up to 35 hrs),<$15K,Single,$35k - $50k,High School Diploma,,,White,2021-11-28 09:19:00,2021,White,11,6
520,2022 Fall - SLCC,Assigned Cohort,3.0,Laptop (PC),Employed part-time (under 20 hrs),$35K-$50K,Divorced,$35k - $50k,Bachelor's Degree,,,White,2021-11-28 21:10:00,2021,White,11,6
521,2022 Fall - SLCC,Assigned Cohort,3.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$50k - $75k,Graduate or Professional Degree,,,Asian,2021-12-01 12:32:00,2021,Asian,12,2
522,Dead Lead,Non-responsive,3.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Other,$25k - $35k,Bachelor's Degree,,,White,2021-12-03 12:17:00,2021,White,12,4
523,2022 Fall - SLCC,Assigned Cohort,3.0,Laptop (PC),Employed part-time (under 20 hrs),<$15K,Married,$75k - $100k,Bachelor's Degree,,,White,2021-12-06 13:17:00,2021,White,12,0
524,2022 Fall - SLCC,Assigned Cohort,1.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Married,<$15k,Some College No Degree,,,Hispanic or Latina,2021-12-06 17:54:00,2021,Hispanic or Latina,12,0
526,Dead Lead,Non-responsive,0.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Married,$35k - $50k,High School Diploma,checked,,Asian,2021-12-07 12:51:00,2021,Asian,12,1
527,Dead Lead,Non-responsive,1.0,Laptop (PC),Employed full-time (35 hrs+),$15K-$25K,Married,$50k - $75k,High School Diploma,,,White,2021-12-07 12:55:00,2021,White,12,1
528,Dead Lead,Declined Attending,0.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Married,$150k - $200k,Graduate or Professional Degree,,,White,2021-12-07 12:56:00,2021,White,12,1
529,Dead Lead,Non-responsive,3.0,I do not own a laptop,Employed full-time (35 hrs+),$15K-$25K,Divorced,$15k - $25k,Bachelor's Degree,,,Would prefer not to answer,2021-12-07 12:57:00,2021,Would prefer not to answer,12,1
530,2022 Fall - SLCC,Assigned Cohort,4.0,Laptop (PC),Employed full-time (35 hrs+),$35K-$50K,Married,$100k - $150k,High School Diploma,,,White,2021-12-07 13:02:00,2021,White,12,1
531,Dead Lead,Non-responsive,2.0,Laptop (PC),Employed full-time (35 hrs+),$75K-$100K,Single,$75k - $100k,Graduate or Professional Degree,,,Black or African American,2021-12-07 13:13:00,2021,Black or African American,12,1
532,Dead Lead,Non-responsive,3.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$15k - $25k,Associates Degree,checked,,"Hispanic or Latina,White",2021-12-07 15:42:00,2021,"Hispanic or Latina,White",12,1
533,2022 Fall - SLCC,Assigned Cohort,3.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Divorced,<$15k,Bachelor's Degree,,,White,2021-12-07 17:47:00,2021,White,12,1
534,2022 Fall - SLCC,Assigned Cohort,1.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,High School Diploma,checked,,White,2021-12-08 12:21:00,2021,White,12,2
535,Dead Lead,Dead lead,4.0,Laptop (PC),"No, currently not employed outside the home",I do not currently work outside the home.,Married,$50k - $75k,Bachelor's Degree,,,White,2021-12-08 15:59:00,2021,White,12,2
536,2022 Fall - SLCC,Assigned Cohort,0.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,Bachelor's Degree,,,Would prefer not to answer,2021-12-09 13:14:00,2021,Would prefer not to answer,12,3
537,2022 Fall - SLCC,Assigned Cohort,3.0,Laptop (PC),Employed full-time (35 hrs+),$15K-$25K,Married,$75k - $100k,Associates Degree,,,White,2021-12-12 22:30:00,2021,White,12,6
