contact_id,cohort,applicant_status,children,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,month,weekday,day,has_computer,accepted,quarter,is_weekend,computer_availability_I do not own a laptop,computer_availability_Laptop (Mac),computer_availability_Laptop (PC),computer_availability_Not Specified,employment_simplified_Full-time,employment_simplified_Not Employed,employment_simplified_Not Specified,employment_simplified_Part-time,education_category_Advanced Degree,education_category_Bachelor,education_category_High School,education_category_Some College,income_band_Other,race_simplified_Asian,race_simplified_Black/African American,race_simplified_Hispanic/Latino,race_simplified_Multiracial/Other,race_simplified_Native American/Pacific Islander,race_simplified_White only,children_category_No Children,children_category_One Child,children_category_2-3 Children,children_category_4+ Children,"ethnicity_simplified_""Some other race, ethnicity, or origin""",ethnicity_simplified_American Indian or Alaska Native,"ethnicity_simplified_American Indian or Alaska Native,White",ethnicity_simplified_Asian,ethnicity_simplified_Black or African American,ethnicity_simplified_Hispanic or Latina,"ethnicity_simplified_Hispanic or Latina,White",ethnicity_simplified_Native Hawaiian or Other Pacific Islander,ethnicity_simplified_Other,ethnicity_simplified_White,ethnicity_simplified_Would prefer not to answer
38,Dead Lead,Declined Attending,2.0,Employed full-time (35 hrs+),$35K-$50K,Married,$50k - $75k,Some College No Degree,Not Specified,Not Specified,Hispanic or Latina,2021-01-07 17:43:00,2021,1,3,7,1,0,1,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
39,Dead Lead,Non-responsive,3.0,Employed full-time (35 hrs+),$25K-$35K,Separated,$25k - $35k,High School Diploma,Not Specified,Not Specified,Hispanic or Latina,2021-01-07 19:24:00,2021,1,3,7,0,0,1,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
40,Dead Lead,Deferred Application,1.0,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,Bachelor's Degree,Not Specified,Not Specified,Not Specified,2021-01-08 17:35:00,2021,1,4,8,1,0,1,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
41,Dead Lead,Dead lead,3.0,Employed almost full-time (up to 35 hrs),$25K-$35K,Married,$75k - $100k,High School Diploma,Not Specified,Not Specified,White,2021-01-08 18:58:00,2021,1,4,8,0,0,1,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
42,2020 Fall - Lehi,Assigned Cohort,2.0,Not Specified,Not Specified,Married,$50k - $75k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-08 20:16:00,2021,1,4,8,1,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
43,2020 Fall - Ogden,Assigned Cohort,2.0,Not Specified,I do not currently work outside the home.,Separated,<$15k,Some College No Degree,Not Specified,Not Specified,White,2021-01-08 21:45:00,2021,1,4,8,1,1,1,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
44,Dead Lead,Declined Attending,1.0,Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Some College No Degree,Not Specified,Not Specified,White,2021-01-08 23:29:00,2021,1,4,8,1,0,1,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
45,Dead Lead,Dead lead,4.0,Not Specified,$75K-$100K,Single,$150k - $200k,High School Diploma,Not Specified,Not Specified,Hispanic or Latina,2021-01-09 09:30:00,2021,1,5,9,0,0,1,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
46,2020 Fall - Ogden,Assigned Cohort,1.0,Employed almost full-time (up to 35 hrs),$15K-$25K,Separated,$15k - $25k,Some College No Degree,Not Specified,Not Specified,White,2021-01-09 11:30:00,2021,1,5,9,1,1,1,1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
47,Dead Lead,Dead lead,1.0,Not Specified,I do not currently work outside the home.,Single,<$15k,Some College No Degree,Not Specified,Not Specified,Would prefer not to answer,2021-01-09 11:44:00,2021,1,5,9,0,0,1,1,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
48,2020 Fall - Ogden,Assigned Cohort,2.0,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-09 16:04:00,2021,1,5,9,1,1,1,1,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
49,2020 Fall - Ogden,Assigned Cohort,2.0,Employed full-time (35 hrs+),Not Specified,Married,$150k - $200k,Certificate,Not Specified,Not Specified,White,2021-01-10 10:12:00,2021,1,6,10,1,1,1,1,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
